file,start,end,speaker,gender,age,birth_year,prompt,emotion,duration,angry_ac,happy_ac,neutral_ac,sad_ac,scared_ac,emotion_ac
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:36.066000,0 days 00:03:38.206000,M_26,male,34,1991,sp,unknown,2.14,-3.641,-0.948,3.167,1.278,-0.579,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:40.546000,0 days 00:03:42.942000,M_26,male,34,1991,sp,unknown,2.396,-5.868,-2.606,2.602,4.723,0.738,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:47.010000,0 days 00:03:49.022000,M_26,male,34,1991,sp,unknown,2.012,-4.568,-1.918,3.009,3.084,-0.082,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:50.242000,0 days 00:03:52.574000,M_26,male,34,1991,sp,unknown,2.332,-6.208,-2.763,2.563,4.930,1.020,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:52.706000,0 days 00:03:56.606000,M_26,male,34,1991,sp,unknown,3.9,-4.269,-0.448,1.035,0.405,1.910,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:03:57.282000,0 days 00:04:00.414000,M_26,male,34,1991,sp,unknown,3.132,-4.203,-0.667,1.777,0.982,0.955,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:04:01.090000,0 days 00:04:03.358000,M_26,male,34,1991,sp,unknown,2.268,-3.675,-1.358,3.202,2.115,-0.792,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:04:05.090000,0 days 00:04:10.878000,M_26,male,34,1991,sp,unknown,5.788,-5.648,-1.678,2.616,2.694,1.133,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:04:11.810000,0 days 00:04:18.750000,M_26,male,34,1991,sp,unknown,6.94,-5.520,-2.138,2.122,3.728,1.146,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:00:05.474000,0 days 00:00:08.766000,M_26,male,34,1991,st,unknown,3.292,-5.475,-1.242,2.807,2.382,0.619,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:00:09.474000,0 days 00:00:11.518000,M_26,male,34,1991,st,unknown,2.044,-4.278,-1.316,4.166,2.167,-1.269,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:00:29.282000,0 days 00:00:31.422000,M_26,male,34,1991,st,unknown,2.14,-4.999,-2.373,2.475,4.211,0.317,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:00:38.946000,0 days 00:00:45.086000,M_26,male,34,1991,st,unknown,6.14,-6.229,-2.685,1.937,4.876,1.530,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:00:51.330000,0 days 00:00:53.566000,M_26,male,34,1991,st,unknown,2.236,-5.499,-1.562,3.372,2.956,0.065,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:00:55.618000,0 days 00:00:58.270000,M_26,male,34,1991,st,unknown,2.652,-5.082,-1.788,2.864,3.199,0.207,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:11.042000,0 days 00:01:15.230000,M_26,male,34,1991,st,unknown,4.188,-5.366,-3.160,3.677,5.269,-0.441,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:19.650000,0 days 00:01:23.582000,M_26,male,34,1991,st,unknown,3.932,-4.212,-0.833,1.388,1.369,1.223,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:24.610000,0 days 00:01:27.230000,M_26,male,34,1991,st,unknown,2.62,-2.263,1.064,1.305,-2.431,0.679,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:27.618000,0 days 00:01:31.646000,M_26,male,34,1991,st,unknown,4.028,-3.655,-0.103,1.485,-0.126,1.068,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:32.802000,0 days 00:01:34.974000,M_26,male,34,1991,st,unknown,2.172,-5.447,-3.195,2.746,5.452,0.335,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:41.218000,0 days 00:01:45.598000,M_26,male,34,1991,st,unknown,4.38,-5.061,-1.010,1.053,1.575,2.191,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:47.170000,0 days 00:01:50.014000,M_26,male,34,1991,st,unknown,2.844,-4.651,-0.691,2.229,1.213,0.835,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:01:50.242000,0 days 00:01:52.606000,M_26,male,34,1991,st,unknown,2.364,-5.640,-2.013,2.478,3.419,1.021,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:05.282000,0 days 00:02:09.662000,M_26,male,34,1991,st,unknown,4.38,-2.074,0.704,1.294,-1.915,0.513,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:10.210000,0 days 00:02:16.158000,M_26,male,34,1991,st,unknown,5.948,-5.598,-1.019,0.992,1.936,2.390,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:18.626000,0 days 00:02:26.238000,M_26,male,34,1991,st,unknown,7.612,-3.903,-0.214,1.995,0.257,0.678,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:26.338000,0 days 00:02:28.670000,M_26,male,34,1991,st,unknown,2.332,-2.736,-0.084,2.399,-0.307,-0.297,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:28.770000,0 days 00:02:31.454000,M_26,male,34,1991,st,unknown,2.684,-4.941,-1.420,1.969,2.285,1.192,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:32.322000,0 days 00:02:35.006000,M_26,male,34,1991,st,unknown,2.684,-5.479,-1.429,2.076,2.522,1.334,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:35.234000,0 days 00:02:37.694000,M_26,male,34,1991,st,unknown,2.46,-2.933,-0.106,3.573,-0.073,-1.386,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:49.346000,0 days 00:02:51.518000,M_26,male,34,1991,st,unknown,2.172,-4.991,-2.286,3.185,3.986,-0.198,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:02:52.738000,0 days 00:02:56.350000,M_26,male,34,1991,st,unknown,3.612,-6.454,-2.575,3.164,4.685,0.667,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:03:00.578000,0 days 00:03:03.678000,M_26,male,34,1991,st,unknown,3.1,-0.193,1.833,-1.792,-4.183,2.324,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:03:06.402000,0 days 00:03:08.478000,M_26,male,34,1991,st,unknown,2.076,-3.061,-0.341,3.376,0.258,-1.067,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:03:08.802000,0 days 00:03:11.390000,M_26,male,34,1991,st,unknown,2.588,-6.392,-3.080,3.815,5.615,-0.113,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_st.wav,0 days 00:03:14.178000,0 days 00:03:20.222000,M_26,male,34,1991,st,unknown,6.044,-5.530,-2.845,3.256,4.882,0.020,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1992_F_13/G_1992_F_13_mf.wav,0 days 00:00:01.346000,0 days 00:00:11.294000,F_13,female,33,1992,mf,unknown,9.948,-4.932,-1.473,2.373,2.407,0.804,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1992_F_13/G_1992_F_13_mf.wav,0 days 00:00:11.586000,0 days 00:00:14.942000,F_13,female,33,1992,mf,unknown,3.356,-4.997,-1.505,1.546,2.475,1.555,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1992_F_13/G_1992_F_13_mf.wav,0 days 00:00:15.266000,0 days 00:00:22.686000,F_13,female,33,1992,mf,unknown,7.42,-5.090,-2.278,2.719,3.929,0.319,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1992_F_13/G_1992_F_13_mf.wav,0 days 00:00:22.914000,0 days 00:00:27.070000,F_13,female,33,1992,mf,unknown,4.156,-5.645,-1.664,2.208,2.955,1.262,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1992_F_13/G_1992_F_13_mf.wav,0 days 00:00:27.682000,0 days 00:00:31.486000,F_13,female,33,1992,mf,unknown,3.804,-6.422,-3.536,1.265,6.492,1.922,sad
